--- PAGE 11 ---
Y=53.4 | X=235.4 | TABLE OF CONTENTS
Y=606.0 | X=144.6 | 5. Conclusions
Y=620.8 | X=144.6 | 5. Future Scope of the Work
Y=658.4 | X=158.1 | References
Y=704.2 | X=152.9 | Appendices (if any)
Y=84.7 | X=86.8 | Title Page
Y=101.0 | X=86.8 | Certificate by the Supervisor(s)
Y=117.4 | X=86.8 | Declaration
Y=133.6 | X=86.8 | Acknowledgements
Y=149.9 | X=86.8 | Abstract
Y=166.2 | X=86.8 | List of Abbreviations
Y=182.3 | X=86.8 | List of Symbols
Y=198.7 | X=86.8 | List of Figures
Y=231.2 | X=86.8 | Chapter 1
Y=231.2 | X=157.6 | Introduction
Y=247.6 | X=158.3 | Introduction
Y=263.8 | X=158.3 | Problem Statement of the Thesis
Y=280.1 | X=158.3 | Objectives of the Thesis
Y=296.3 | X=158.3 | Organization of the Thesis
Y=329.0 | X=86.8 | Chapter 2
Y=329.0 | X=157.6 | Literature Survey
Y=345.2 | X=158.3 | Introduction (Sub-section)
Y=361.4 | X=158.3 | 2.1.1 Literature Survey (Sub-sub-section)
Y=377.7 | X=158.3 | Future Scope of the Research Work
Y=410.3 | X=86.8 | Chapter 3
Y=410.3 | X=157.6 | Materials and Experimental Techniques/Methodology
Y=426.7 | X=158.3 | Introduction
Y=443.0 | X=158.3 | Summary
Y=472.7 | X=81.7 | Chapter 4
Y=472.7 | X=157.6 | Results and Discussion
Y=488.9 | X=158.3 | Introduction
Y=505.3 | X=158.3 | Results and Discussion
Y=535.1 | X=79.3 | 4.3Summary
Y=558.7 | X=81.7 | Chapter 5
Y=558.7 | X=157.6 | Conclusions and Future Scope
